review,Label
I do not know how you can say he is a doctor,Negative
He is not a doctor. Just know how to charge money,negative
Alhmdulillah positive experience,positive
Glad to have good experience,positive
Fair review.,Neutral
Nice experience,Positive
It was good overall.,positive
" I was contacted by Lahore branch but no one came here to collect blood sample and performed medical test I’m very disappointed hope the service will better in foreseeable future.
",Negative
very professional man,positive
" Perfect ! 
",Positive
Such a nice dr. May ALLAH bless him,Positive
Awesome experience..nice doc.,Positive
" Experience with dr. Amash was just great … such a nice in person,  has more than good expertise in his field with latest technology n equipment with proper hygiene measures , stay blessed n excelled with your team doctor.
",Positive
Good experience.,Positive
Good work,positive
The doctor were experienced and a good person i had a good experience there,positive
Alhamdolillah very much satisfied with checkup. Sufficent time provided for detailed conversation and identification of issue.,Positive
Unkind doctor,Negative
" Although the information given on the app is correct, but the app is not connected with doctor’s clinic. The doctor does not know about your online reservation and timing. ",Negative
It was great experience.,positive
Doctors behavior and cooperation was outstanding.,Positive
Good experience with video call,Positive
" Very nice person and well experienced.
",positive
I am waiting for you,Neutral
A Doctor with a Mindset to Serve Humanity in its true sense. Usually,Positive
" The doctor was very cooperative and respectful. Very experienced and did put my heart to alot of ease as to how he diagnosed me
",Positive
" Worst experience ever! Doctor was not able to diagnose the issue. I spent 8k for my treatment, dr said that my ear was blocked due to wax but when I visited another hospital I was diagnosed with svere ear infection. So please do not waste your money.",Negative
Not happy,Negative
"In clinic gents are not allowed and Dr's (pa, assistant, helper  is a man, which was not a doctor, he is an attendant",Negative
I reach clinic 10 mints before my appointment but before my appointment time doctor was not there. I wait him more an 2 hours he said his staff he will come but he didn't I have a lot of work but whole waiting give me headache.,Negative
Good work,positive
The receptionist had no idea about the 20% discount code and the code wasn't working either. Anyway I got that sorted but was told that 20% discount was not applicable on all blood tests and I ended up paying full amount.,Negative
Worst service ever seen and try come in winter not in summer they don't have any cooling system totally disappointed,Negative
only averagel experience with doctor adil.,Neutral
" After talking to doctor, I felt I was gonna die within a month",Negative
" Intehai badtmeez insan hai ye isko patient k sath deal krna e nai ata , appointment 2 bjy ki the ye insan 4:30 bjy aya or itna wait krhy k bad Isne check kia iska behaviour patient k sath bilkul b Acha nai hai, NOT RECOMMENDED ",Negative
"your doctor Fees is not updates He charged Fees only 3100 Rs You display 2,000",Negative
1 hour drive to meet doctor but the doctor is not is the hospital...,Negative
Bad experience,Negative
Doctor didn't arrive at hospital. Bad experience. My mother wait for 20 mins and then staff told us that doctor is not coming today due to some personal reasons,Negative
She's so nice lady had a good experience with her so satisfied,positive
Doctor was very late but he is the good doctor,Neutral
She seems a competent doctor,Positive
Mujha medicine nahi di hai tu isko bether kary,Negative
Overall not good,Negative
But I had to wait too long.,Negative
Doctor is unpolite,Negative
I paid 900 more,Negative
Doctor uzman was just a neutral doctor.,Neutral
I have this problem such a long time but he prescribed drops to me so hopefully will be better,Positive
It was good experience,positive
Good doctor,Positive
" Prof was friendly and very professional thank U 

",Positive
Doctor should improve his tone but overall okay experience,Neutral
Dr checked ok,Neutral
Appointment was of no use had to wait more then an hour hospital staff didn't even bother looking at the appointment booked through app on the other hand doc checkup was worth a wait,Neutral
Wonderful experience. very nice. Listen calmly to the problem and identify issue.,Positive
" Very short meeting,  Dr didnt bother to go in detail",Negative
Not properly Satisfied,Negative
That was very Good,Positive
" Very Professional Service. The Best thing about him he has great listening skills and allow his patient to speak in details 
",Positive
" She was so sweet throughout the whole exam
 I felt heard and was able to discuss future options which don't really happen with lots of other doctors. ",Positive
She made me feel bad about my skin condition.  Overall worst experience.,Negative
Very professional doctor and listening the problem  carefully and try to solve the patient properly,Positive
Not satisfied doctor's check up didn't listen my opinion and hardly given my only 5 minutes and other sides one hour I wait him ..he recommend medicine only to see after my old medical records... really disappointed from his check up..,Negative
Her voice were breaking audio quality can be improved,negative
He is a very fine doctor,Positive
He is just a ok doctor.,Neutral
He is a good Dr with very nice behaviour.,Positive
Good doctor,Positive
he is not ha surgeon please confirm this and change dr information in oladoc.com dr sab just a medicine recommendation,Negative
Problem not solve. dr is good person I am eat medicine but not be relax bleeding is not control.2.3 time bleeding coming a day,Negative
Not physically check the body for ailment,Negative
Charge full fee and didn't accept the oladoc wallet 200 discount,Negative
" We are not satisfied. Please must update your self 
I visited to the hospital and after reach there I got the news that doctor sadaqat Ali is also not well and taking rest at home since last few days",negative
Doctor hira was late but she is good doctor.,Neutral
Very good,Positive
The payment from Card is not made after many attempts,Negative
Dr was just average.,Neutral
I got appointment but at the mention time dr khuram was not there,negative
" The appointment of the dr i booked was not there he was on holiday and they guys are charging that amount on his name and experience and he wasn't even there
",Negative
Ganda doctor,Negative
he was just ok doctor.,Neutral
Overall satisfied,positive
Staff acha nahi ha. Haar baat ma paisa maangta ha,Negative
he is just ok doctor.,Neutral
Very polite.,Positive
Bht Doctors Sy checkup krwaya lekin Kisi ko bhi Bemari ki smjh nhn I or Google Par Aik Din Check kia To Dr Sumaira Yousaf Ka Pta Chala Or Inhen Checkup krwaya 2 din Main Inki Medicine ny Asar Dikha Dia Alhamdulillah Ab Khud Ko Better Feel krta hn,Positive
Ma ainda iss doctor ko kabhe check nahi krwao ga,Negative
Feeling much better.,Positive
Best doctor ever i met. Gave maximum time to patient. Diagnosed disease and treated well.,Positive
Dr sab video mein nazar hi nae ay.,Negative
Bht ache doctor hain,positive
it was ok experience with dr ameema,Neutral
Very expensive charged 10k for single filling,Negative
I went for skin treatment. I didn't get the results I was looking for. Not recommended,Negative
average doctor in medical complex,Neutral
Staff did not cooperated with us but doctor guided us properly.,Neutral
" It was very bad experience ,I am not satisfied by their services .",Negative
Alhamdulillah Doctor is good,positive
They have made this source of their income not sincere with his profession and patient. Even not giving single reply to my WhatsApp. At the date of my appointment app was not connecting the.so I have to call at his personal WhatsApp number.,Negative
Expensive treatment,Negative
Very calm well behaved doctor i strongly recommend,Positive
Want to give less rating,Negative
" The doctor was good, punctual and very supportive
",Positive
I am very satisfied with doctor guidelines checkup but the hospital staff were not professionally trained nor the environment although I really appreciate the effort and guidelines from the doctor.,Neutral
It was a first introductory session and effective enough.,Positive
She is to good,Positive
" Because she did not explain any thing about our concern.Just listien the issue and write medicine and also fee difference ,here is mention 700 but at clinic 800 and not appointment acccepted from olodoc",Negative
We had a great experience Highly recommended,Positive
" it was a good session
",positive
Yes recommended,Positive
my information was not correct,Negative
Dr is not available,Negative
Doctor call py he nhi aye,Negative
" Very quick and good services, the doctor's behavior was so polite, i was feeling cool.",Positive
bad bab bad,Negative
Nothing new was offered to cure the disease. It was same old prescription every other doctor recommends. Not going for follow up,Negative
Good and agree with doctor,positive
"Need to improve his behavior with patients...
All medicine he is prescribed from local pharma...",Negative
could not avail it due to emergency admission in CMH Lahore,Negative
. Highly recommended for everyone. Ibs walo ke liye bht zyada acha hai.,Positive
we wait 3 hours before we see doctor. Our time was 6:20 pm but they call us in at 9:30 pm.,Negative
Reports uploaded were not visible to doctor.,Negative
Very good.,positive
Video quality was too poor. Voice was broken.,Negative
Good experience.,Positive
Highly recommended,positive
Very good person dr sb is very polite and humble,Positive
Satisfied experience,positive
God bless you DR sahb. Awesome experience,Positive
Best experience like always,positive
Mr Ijaz Ahmed Bhatti is a professional and very kind person. His treatment method is satisfactory.,positive
Experience with dr kamal was ok,Neutral
My time was wasted. I booked timing of  5 pm but actual timing was 6 pm,Negative
we had normal experience with doctor haroon,Neutral
" Most humble, kind, loveable person. Expert in her field. May Allah Taala Bless her with all His Bounties n Mercies n happiness Ameen sum Ameen ya Rabul Alamin ",Positive
I booked appointment for 1400 hrs no patient is there but Dr is not around i think he takes OPD at too many places. Strange and bad experience.,Negative
Her clinic was closed,Negative
Well experienced with good behavior,Positive
Staff naa cooperate nahi kiya lakin doctor bohat experienced tha,Neutral
Amazing services,positive
The doctor was good. He checked thoroughly. Asked relevant questions and listened carefully. Prescribed tests. Waiting on follow up. Will be able to give a better review then.,Positive
" We are not satisfied completely.Please must update your self 
I visited to the hospital and after reach there I got the news that doctor sadaqat Ali is also not well and taking rest at home since last few days",Negative
Doc behaviour is very polite and treat very well. highly recommended.,Positive
I am not satisfied,Negative
Extremely disappointing experience this time!,Negative
Worst of wors,Negative
Medical store waly ne paisy poory liye ha. Mujha medicine nahi di hai tu isko bether kary,Negative
Not feeling well after check not up to check up as approach of consultant.,Negative
Overall satisfied,Positive
Its been 12hrz ago and still did not receive any prescription from doctor. What is this??,Negative
Great experience as a first timer. She’s very understanding and listens to your concerns.,positive
Excellent,positive
She did not introduce herself or make the patient comfortable before forcing the patient to talk. She should have eased the patient into talking.,Negative
Great doctor.,positive
Overall great experience,positive
She is very nice and listen to the patients carefully. 100% recommended.,positive
hospital was not good but doctor was very nice.,Neutral
Doctor hammad is a average doctor.,Neutral
Clinic mukamal tor pe saaf nhe tha lkin doctor shb ache thay.,Neutral
" She is very nice, humble and professional doctor. ",Positive
Not happy,Negative
Very blunt and rude behavior with patient who is a neuro patient. Needed emergency treatment which is known as symptomatic treatment but doctor sab was of the view not to have any treatment for me as if i would die with the symptoms but there is no treatment.,Negative
"The amount they charge, they should give some time to patient accordingly",Negative
We did a 2 sec chat and then she left the room . I think network isn’t working . But I’m trying to reconnect and it’s not connecting again .,Negative
The doctor did not see me. The doctor's assistant checked me and he didn't give me proper time.,Negative
Doctor behaved so good and also took history properly.  I am satisfied with overall checkup,positive
Too much waiting our appointment was at 5:30 PM but we meet dr after 6:30,Negative
Hospital was very dirty and tidy,Negative
"Video consultation with Dr is such a nice and useful way in bad weather, When can't travel to Doctor they bring Doctor via Video link.
Dr. is young but experienced in his field.",positive
Experience was good,Positive
Doctor junaid is good but staff is rude,Neutral
Very Professional and a good consultant.,positive
Good and humbled doctor,positive
" i pay the fee of Doctor. but doctor not check us, he refer us to another doctor. but he charged us fee",Negative
" Very unprofessional 


",Negative
Could not connect on video call,Negative
Prescribed so many medicines,Negative
" The session went well, she listened to me and diagnosed the issues and motivated me as well",Positive
" It was not good experience with doctor. Adnan. He did not check me properly, not satisfied by checkup and treatment. Will not recommend to anyone to visit Doctor. Adnan ",negative
Very constructive and helpful session!,Positive
" Staff said your app is not registered here they said fees 2950 
",Negative
Nice very good talking,Positive
Excellent experience very humble and very good consultant,Positive
Very good experience. I am satisfied.,Positive
Good,Positive
" Very humble lady, satisfied ",Positive
Poor services,Negative
He give medicine i ll use medicine then i ll tell,Neutral
I donot know why people use olaodoc,Negative
Waiting time is more than 1.7 hour. There is no value of time. Another appointment have to taken even you already had one. The management of should be serious.,negative
MRI machine was not working,Negative
My experience was not good,Negative
Still waiting for my CBC test report,Negative
" As expected best doctor who would listen and provide clear advice, put aside all the concern. Regards 
",Positive
Doctor showed aggression while examining but the staff cooperated with us.,Neutral
Very nice personal,Positive
they should have mention full 4000 fee. sometimes you don't have cash so kindly always mention full fee!,Neutral
Cleared my all doubts. Highly recommend,positive
Excellent experience,Positive
" Satisfied, nice and good personality very helpful",positive
Doctor Ayesha Ejaz is one of the most caring doctors I have had a pleasure of having .,positive
Too much wait time despite booking time in advance,Negative
Great as always,Positive
Bad hospital,Negative
It was very good,positive
Staff insulted us although doctor was very nice.,Neutral
Doctor is a lying piece of shit,Negative
Staff seems to be unprofessional but doctor was professional.,Neutral
" Hashmani hospital have so many dacos they don't want to give any relaxation regarding patients but after emotional black mailing and looting money without any guarantee or warrentiy may be satisfied treatment. 
These type of hospitals are looting people",Negative
" Exhausted, because of long waiting",Negative
Very reasonably decent doctor. Gives proper time and supports as needed.,Positive
It was great. Thanks,Positive
